Anagram_ID,Anagram_LANGUAGE,Word_01,Word_02,Word_03,Word_04,Word_05,Word_06,Word_07,Word_08,Word_09,Word_10
47,American English,SANTA,SATAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,American English,DEVIL,LIVED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,American English,STORY,TROYS,TYROS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,American English,STORIES,SORTIES,ROSIEST,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,American English,WAS,SAW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,American English,WRAP,WARP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,American English,CUBE,CEBU,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,American English,LIGHTER,RELIGHT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,American English,LOW,OWL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,American English,HEADER,ADHERE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,American English,DESIGN,DEIGNS,SIGNED,SINGED,NULL,NULL,NULL,NULL,NULL,NULL
58,American English,SCARY,CRAYS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,American English,ISLAND,LANDIS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,American English,WORKER,REWORK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,American English,RETINAL,RELIANT,RATLINE,LATINER,LATRINE,NULL,NULL,NULL,NULL,NULL
62,American English,DEBUG,BUDGE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,American English,BULGE,BUGLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,American English,MEAT,META,MATE,TEAM,TAME,NULL,NULL,NULL,NULL,NULL
65,American English,FRIED,FREDI,FIRED,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,American English,TONE,NOTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,American English,HERO,HOER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,American English,RIDER,DRIER,DIRER,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,American English,FLOWER,FOWLER,WOLFER,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,German,BÜCHER,BRÜCHE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,British English,SNIPER,RIPENS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,British English,CLEAN,LANCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,British English,SANITY,SATINY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,British English,STAR,TSAR,TARS,ARTS,RATS,NULL,NULL,NULL,NULL,NULL
75,British English,EASY,AYES,YEAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,British English,EASIER,AERIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,American English,DRAGON,GORDAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,American English,EDITOR,TRIODE,RIOTED,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,American English,FOREST,FORTES,FOSTER,SOFTER,NULL,NULL,NULL,NULL,NULL,NULL
80,American English,PYTHON,TYPHON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,American English,DIAL,DALI,LIDA,LAID,NULL,NULL,NULL,NULL,NULL,NULL
82,American English,SIGNAL,ALIGNS,LASING,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,American English,SINGER,SIGNER,SERING,INGRES,RESIGN,REIGNS,NULL,NULL,NULL,NULL
84,American English,INSTRUMENT,NUTRIMENTS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,American English,PLUM,LUMP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,American English,SILVER,SLIVER,LIVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,American English,RESPOND,PONDERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,American English,RING,GRIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,American English,CREATE,CERATE,CETERA,TRACEE,NULL,NULL,NULL,NULL,NULL,NULL
90,American English,GLIDER,GILDER,GIRDLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,American English,SATIRE,STRIAE,AIREST,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,American English,FOSTER,FORTES,FOREST,SOFTER,NULL,NULL,NULL,NULL,NULL,NULL
93,American English,FAST,FATS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,American English,SIREN,RISEN,RINSE,RESIN,REINS,NULL,NULL,NULL,NULL,NULL
95,American English,AGILE,GAILE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,American English,SCREW,CREWS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,American English,DISEASE,SEASIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,American English,ANGEL,ANGLE,GALEN,GLEAN,LANGE,NULL,NULL,NULL,NULL,NULL
99,American English,CARTON,CARNOT,CANTOR,CONTRA,NULL,NULL,NULL,NULL,NULL,NULL
100,American English,RECENT,CENTER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,American English,TENOR,TONER,NOTER,NOTRE,NULL,NULL,NULL,NULL,NULL,NULL
102,American English,REACT,CRATE,CARET,CARTE,CATER,TRACE,NULL,NULL,NULL,NULL
103,American English,TARGET,GRETTA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,American English,PAINT,PATIN,INAPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,American English,GOD,DOG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,American English,SCALAR,SACRAL,RASCAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,American English,ACTOR,CROAT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,American English,DOMAIN,DAMION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,American English,CLEANER,CARLENE,CARLEEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,American English,DEPOSIT,DOPIEST,POSITED,TOPSIDE,NULL,NULL,NULL,NULL,NULL,NULL
111,American English,OUTLINE,ELUTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,American English,SECRET,ERECTS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,American English,POSTER,PRESTO,TROPES,REPOST,NULL,NULL,NULL,NULL,NULL,NULL
114,American English,POSTURE,POUTERS,PROTEUS,SPOUTER,TROUPES,NULL,NULL,NULL,NULL,NULL
115,American English,MACRO,MARCO,ARMCO,CAROM,NULL,NULL,NULL,NULL,NULL,NULL
116,German,FRAUNHOFER,FAHRNEORUF,ROHUFERFAN,UFERROHFAN,NEOFAHRRUF,HANFFURORE,HOFANRUFER,NULL,NULL,NULL
117,American English,MONSTER,MENTORS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,American English,ALARMING,MARGINAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,American English,DISCOUNT,CONDUITS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,American English,SPICE,EPICS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,American English,RANSOM,ROMANS,MANORS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,American English,PERSON,POSNER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,American English,ACROSS,OSCARS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,American English,LOVER,VELOR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,American English,RATIONAL,NOTARIAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,American English,SERVER,REVERS,VERSER,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,American English,RESIST,SISTER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,German,MARKT,KRAMT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,German,SACHER,SCHARE,RASCHE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,British English,MORALITY,MOLARITY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,British English,CUP,CPU,UPC,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,British English,TRAILER,RETIRAL,RETRIAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,American English,SISTER,RESIST,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,American English,PIRATES,PIASTER,PARTIES,PASTIER,TRAIPSE,NULL,NULL,NULL,NULL,NULL
135,American English,DATABASE,DATABASE,DATABASE,DATABASE,DATABASE,DATABASE,NULL,NULL,NULL,NULL
136,American English,TRIANGLE,RELATING,INTEGRAL,ALTERING,ALERTING,NULL,NULL,NULL,NULL,NULL
137,American English,ENCHAIN,ENCHAIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,American English,DARYA,DARYA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,American English,RIVER,RIVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,American English,PATROL,PORTAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
